timestamp,speaker,words,tags
,INT:,"Rev. Haynes, Thank you so much for allowing us this opportunity to interview you. We have upon your request taken on the responsibility of initiating a history of African Americans, particularly those in Lower Roxbury and the South End. We're so proud that you were one of the few people in Roxbury or in the city and maybe in the Commonwealth that has the kind of influence and impact that you have had over the years. So thank you, sir, for agreeing to do this interview. There are several questions I would like to start with a little bit about your background and let's start with asking you about your family and how they first came to Boston and the impact that it had on them and them on Boston? When did they first come here?",Roxbury
,RH:,"My parents were immigrants from the Island of Barbados. From what I understand, my father had left the Island maybe as a teenager, to go to Sydney Mines, Nova Scotia to work and later came back and married my mother. She wasn't interested in going to Sydney Mines, Nova Scotia. I gather from listening to my older brother that they compromised by coming to Cambridge for a short while. Then they moved into Lower Roxbury. I gather it was somewhere around 1919 or 1920, somewhere around 1919 or 1920. I was born in 1927. My oldest brother, Douglas, was born in Barbados and came to the United States with my mother as an infant child. My brother, Vincent, the next in line was born in the United States in Roxbury. Then came Roy born in Roxbury and then came Michael born in Roxbury.",Roxbury
,INT:,laughing,Roxbury
,RH:,"Michael's me, yes",Roxbury
,INT:,Can we talk a little bit about the major influences that shaped your family in your opinion?,Roxbury
,RH:,"Listening to stories from my father particularly and my mother. They settled in just on the threshold of the Great Depression. Looking back now, I'm sure both my mother and father had visions of sugarplums dancing in their heads. They expected great things out of being in America. They lived on several streets. At first they lived on a little street called Woodbury Street, which was a little, narrow cobblestoned street. It ran from Shawmut Avenue into Washington Street, down where the Lenox Street Project is now. Then they came up to Hubert Street, where Vincent was born. They went from Woodbury Street to Hubert Street where Vincent was born. Then Hubert Street was facing Madison Park and from Hubert Street they went to Thorndike Street, which still exists today where Roy and I were born - on Thorndike Street. My parents struggled and bought a little cottage on Haskins Street which ran off of Ruggles Street. They were the second African-American family to live on the east side of Haskins Street. There were several African-American families living on the west side of Haskins Street. One, the Mirak family and the Scott family had bought homes on the west side of Haskins Street. They became rather significant in the history of the black community. My family was the first and I guess my family was the first Caribbean family to buy a house on Haskins Street which, at that time, was predominantly Jewish and Irish Catholic. This was the strong influence around 1927 or '28. So I was raised in this very, very heterogeneous community. Down at the foot of the street, there was a Lebanese store, a Jewish store at the bottom of the street, a Jewish store at the top of the street. St. Francis DeSales, a Roman Catholic Church was on the top of the hill. Another Jewish Synagogue across from our house on the west side of Haskins Street and a Jewish Synagogue down at the foot of the street on Ruggles Street. It was this heterogeneous community in which we were born. At that time, Ruggles Street was kind of the line between the predominantly black communities. It was just beginning to shift. Blacks were now shifting south of Ruggles Street. But at the time we were born, once you stepped onto Ruggles Street going north, you were in the predominantly Lower Roxbury black community. Madison Park was just a block away from our house.",Roxbury
,INT:,"Describe what it was like to for you as a young boy growing up in a multi-cultural, multi-racial, dynamically changing community? [inaudible words -- speaking too softly]",Roxbury
,RH:,"I remember going to primary school, William Bacon School, on Vernon Street and being very, very conscious of the fact that a number of my friends and my own parents, not so much my father because he had already mongolized his accent in Canada; but my mother's accent was very, very foreign. A lot of the kids, I remember kids in school, kids in William Bacon School calling the people with the accents [monkey chasers]. I know what it was all about, you know. They were called monkey chasers; I never saw a monkey (laughing). Not until I started going to the Caribbean and realized that monkeys ran all over the place. But they had this foreign accent so often kids made fun of them. Then some of the kids I grew up with had parents who migrated from Ireland and also from Italy. So I had Cappuzo, Callahan -- their parents had accents too. Accents were a common thing as we were kind of in an immigrant community. At that time that section of Roxbury was strongly Irish, strongly Jewish. Most of the Jewish people were immigrants also. So we were in an immigrant community at that time around the late 20's.",Roxbury
,INT:,When it moved into the 30's was there significant changes? When was the major change that made the community predominantly black?,Roxbury
,RH:,"I'd say the 40's. Black institutions started coming like the Jewish Synagogue at the bottom of Haskins Street moved out; and it became an African Orthodox Church. I remember Pentecostal Mission coming in on Ruggles Street. The Blessed Sacrament Mission, Roman Catholic, was up at the top of Vernon Street which was a Catholic mission to the black community.",Roxbury
,INT:,"How did you view yourself? I mean, did you early on say you wanted to be a minister? What [inaudible] that part of you that attracted you to [inaudible].",Roxbury
,RH:,"I don't think I had horizons; I didn't have a vision as a kid. I think I struggled to find my way. The Great Depression came. My father had a very, very difficult time with jobs. He got a job at the WPA and many times he told me later on that they relegated him the task for the WPA - they were cleaning streets and stuff. His assignment was to pick up dead cats and dead dogs. He was kind of the single black working on this truck. But I think my father was early disillusioned by America and the Great Depression and struck by racism very, very emphatically. My father always worked two jobs. He always found a job, always worked. He took to drinking a little bit. I think that was the result of the Depression and the frustrations that he found. He thought he was going to hit gold in America. In the Depression, he struggled to pay a mortgage on our house. Our neighbors on both sides, the Kelley's lived on one side -- Irish Catholic. Next to us were the Cheveau's -- they were Protestant of French decent. Next to the Cheveau's were the Callahan's and next to them was the Campbell's also from Ireland. So we had this distant Irish community pretty close around us. Across the street was practically all Jewish on the other side of the street. But the Depression hit pretty hard. There was a period of time when my family, like many families in that area who were on welfare. Also many of the Irish families were on welfare. One of my close friends, I remember going to Timilty School one day and the welfare gave you clothes. You go to a school over to Upham's Corner and get these big, big bundles. My mother would be so happy to have these clothes. I remember, I can see these pants like it was yesterday, these kind of a denim looking pants with kind of a pink stripe going through. I'd walk to school and one of my classmates, Johnny McGarrity pointed a finger at my pants and he had on the same pants and said you're on welfare. My mother was ashamed to be on welfare and she used to go out and do day work and ride the bus to Wellesley and Newton, doing day work to get us off of welfare as soon as she could. But those were hard days.We knew hunger a lot. My mother would bring home stale bagels and [inaudible] from the Jewish homes she worked in. Me and Roy would be soaking those things and re-baking them. Then we'd go over to the firehouse on Cabot Street and get cans of grapefruit juice and slabs of cheese and butter. All those things were great but we knew what hunger was. We knew what hunger was in our house for quite awhile. We knew what it was to be poor. We knew what it was to be cold.",Roxbury
,INT:,[inaudible -- speaking too softly],Roxbury
,RH:,"My family went through some transitions. Coming out of Barbados they were strongly influenced by the Anglican Church and the [Moravian church]. Then they came to the United States and were told to look for a Methodist Church that would be; and I remember hearing the story that the first night they were here and this was before I was born, my uncle had just arrived from Barbados. My uncle and my father and mother went to Columbus Avenue Inn, the Zion Church, assuming they had an evening service and there was no evening service. On the way home, coming out of Barbados, as it is even now, people are very conscious of their religious faith and on their way, walking back home on Columbus Avenue to Shawmut Avenue they heard, they passed a little mission on Shawmut Avenue. My mother decided that she'd go into this mission. My father said later, I'm going home. My father went home and my mother and her brother went into this mission, it was a Pentecostal mission; and soon thereafter, my mother joined the Pentecostal Church. So we were raised with these double influences of the Anglican Church, the Episcopal Church and the Pentecostal Church. The tug between the two for much of our lives. This uncle later became a Pentecostal minister and then became a Pentecostal bishop. So we had this double influence of the Pentecostal Church and the Episcopal Church.",Roxbury
,INT:,[inaudible],Roxbury
,RH:,And then of a Baptist. [inaudible],Roxbury
,INT:,[inaudible],Roxbury
,RH:,"My oldest brother, Douglas, as the population on Haskins Street changed, the big apartment house which was mostly Jewish, speedily changed and became predominantly black. Many of the people there went to the Baptist Church. At that time Twelfth Baptist Church was significant. It had a comparatively new minster, Dr. Hester from North Carolina. His wife, Beulah Hester, was a social worker. So Mrs. Hester's at the Shaw House influenced a lot of the young people and many of the young people on Haskins Street were going to Twelfth Baptist Church. My older brother went to the Twelfth Baptist Church and got baptized at Twelfth Baptist Church. That started the connection between Mrs. Hester, the social worker. She was the one that was getting underprivileged kids to go to summer camp. She worked for the Shaw House. She was the, I think they called her, the community visitor or something like that but she would be getting kids. So early in life, Mrs. Hester sent me and my brother Roy, like many other kids, to [Breezy Meadows Camp] which the Shaw House ran; which later on was to become probably one of the greatest influences in my life even a stronger influence than the Church.",Roxbury
,INT:,[inaudible],Roxbury
,RH:,"I went to Breezy Meadows and didn't like it at all as a kid. Then a student from Gordon College, a guy from Ebenezer Baptist Church named Simpson Turner, volunteered. I guess a part of his going to college was to work with kids from the community. He became a counselor at Breezy Meadows Camp and offered me, at fifteen, an opportunity to be a junior counselor. That opened a whole new vista for me. That opened a whole new vista that never ended. Every summer from then on I went to Breezy Meadows Camp until I was in my 30's. And eventually became the program director at Breezy Meadows Camp. All because of this guy, Simpson Turner, who became the strongest influence in exposing me to religion and church and the school of theology -- because he was going to school in theology. He was a part of a music group, a head of its time, a religious music group called [Shaylo Kralls Electric Choir]. Shaylo Calls was a musical genius from an outstanding family called the Clark's on Kennard Street. They were all very, very gifted guys. He formed in the 1940's, I don't know it might have started in the 30's, I just remembered in the 1940's when I got to English High School he formed this Shaylo Kralls Electric Choir with all electric instruments in 1940. Electric base, electric guitar, xylophones -- all these things and he got this team of teenage guys playing in this choir with a girl soloist. They would go around to churches. As time went on this became a very popular group and this guy Simpson Turner, this guy from Ebenezer Baptist Church, this student at Gordon College, this black guy going to college was a narrator and a speaker and he became a boy preacher. One of the first local boys to become a popular preacher in his time. Simpson Turner put his hand on me particularly during when WWII broke out. There were two predominant; I guess you could call them gangs or athletic clubs, two predominant gangs in Lower Roxbury around the Madison Park area -- the Eagles and the Panthers. Any teenager growing up around Madison Park, you expected to be either in the Eagles or the Panthers. The Eagles were maroon and gold and the Panthers were orange and black. The Panthers hung out on the, sort of the east side of the Madison Park; and the Eagles hung out on the west side toward Tremont Street -- the corner of Tremont and Kennard - very, very famous corner. This was the Eagles corner. My brother, Vincent, coached the Eagles football team. He made me try to play football and it didn't take me very long to know that I wasn't an athlete and I became the manager for the Eagles. I didn't know what all this stuff was going to lead me to. Because as manager to the Eagles, when I was a student in high school, later on I became the biggest sports manager in the town. From the Robert Shaw House, I started managing the basketball team. All of it came out of being manager for the Eagles. Then the war broke out and everybody started getting drafted before I finished high school. Guys in my class at English High were going to war. Vincent, my older brother, went to war. My oldest brother Douglas went to war and this guy Simpson Turner, because he was in theology school, didn't have to go to war. He volunteered to continue to coach the Eagles and keep the Eagles together. This guy was imprinting in my life. I didn't realize it; it took time for me to realize the dynamic of what was going on.",
,INT:,When did you realize your calling?,
,RH:,I got more interested in music first.,
,INT:,Okay.,
,RH:,"In church music. My father was a musician, my oldest brother was a musician and Vincent was a music promoter and Roy was a musician. So I got interested in music. My father played the organ. In fact, as a teenager they say he was the soloist in his church in Barbados for the Tanner Soloist Handel's Messiah, when he was 18 years old. He came and he played the organ and he played at the African Orthodox Church and other places. So the house was filled with music. We had an organ in our house. Roy talks about it all the time. We had an organ that you piped it with your feet. We had a little organ you would pull out the stops to our house.",
,INT:,You should mention that Roy Haynes was one of the world's greatest drummers and I had the opportunity to interview [inaudible] and he said to me [inaudible],
,RH:,"Yes, yes. [inaudible]",
,RH:,"Roy struck gold with the drums. Interesting story about Roy. Roy went to work at Breezy Meadows Camp too in the kitchen. I became a junior counselor and then head counselor, program director and stayed there almost until the camp closed. Roy became a kitchen boy and he used to beat on the pots and pans; and Mr. Shelburne, who was one of the hero's of the black community, Mr. Sheldman was one of the executive directors of Breezy Meadows Camp, fired him. Put him in the station wagon and brought him home and said he didn't want him to work.",
,INT:,[inaudible],
,RH:,"Beating on the pots. He was beating on the pots all of the time. A few years later, Roy, under aged, was drumming in nightclubs downtown. A few years later he's gone to New York.",
,INT:,So do you think change --?,
,RH:,"I was interested in church music, very deeply in church music. As a manager or player?",
,RH:,"An experimental player and this Shaylo Choir promoted this thing. I started to learn how to play. The Hammond Organ Company developed a little instrument called the solo box and they had set up this little small keyboard on a stand and I started learning to play this Hammond solo box and I started to learn how to play the Hammond organ. So this plunged me into the genuine interest in church music. I think I won a hymnbook from every known denomination in the world. I studied hymnbooks. I would be playing hymns all the time, all of them. Then in 1935 or so you got this big wave of new religion, charismatic religion coming through Boston with Dr. Fisher and the International Gospel Party. That brought a whole new music thrust in the late 30's or early 40's of the Chicago Gospel music. The Thomas Dorsey stuff, the Sally Martin stuff. Dr. Fisher brought all of that to Boston. A whole new world for me. Even the guys from the nightclubs and clubs down on Tremont Street would go to Dr. Fisher's to hear this new wave of gospel music. No churches had this.",
,INT:,Wasn't he internationally known?,
,RH:,"He was internationally known. He was an African American, Episcopal, Zion guy out of Livingston College who majored in dramatics and he brought all of that to bear in his religious thrust in Boston.",
,INT:,You even wrote about him?,
,RH:,Yes or this Dr. Turner wrote about him in a book that was used in one of the theological schools in New York.,
,INT:,Yes. And how do [inaudible] influence you?,
,RH:,"The music. The music attracted me. The top musician, Raymond Tracy Hunter, who did a whole score for a major religious production, I think it might have been staged the first time in 1936 or something at Symphony Hall. I can remember my friends waking me up so we had to get there by 4:00 o'clock to be able to get in Symphony Hall on Easter Sunday. I remember going to Symphony Hall and seeing this drama with practically an all black cast or 99% black cast and Layman Tracey Hunter did all the music for the scores. Dr. Fisher did all of the drama, as I said he was a drama major before he went into theology at Livingston College. He did all the drama and he played the role of Christ. This is 1930 something, somewhere around 1935 or '36 and he continued year after year every Easter presenting at Symphony Hall and from Symphony Hall to Jordan Hall then they went from Jordan Hall to what is now, BU owned it for awhile, Huntington Theatre, I think. He tried to buy the Huntington Theatre. Fisher tried to buy the Huntington Theatre but he wasn't able to get that.",
,INT:,[inaudible] impact on Boston.,
,RH:,He did. I think he was every pastor's nightmare. laughing,pastoral care
,RH:,He was every pastor's nightmare in Boston. Why was that?,pastoral care
,RH:,"Because what he started doing after he, Boston became good to him. He started coming to Boston and he actually took over, he took over a Pentecostal Church. Christ Temple which is located up above Estelle's Restaurant is, up there. I guess it sat about 400 people in that hall upstairs there. He used to come every year to hold a revival; and of course at that time more of the members of that church were his followers than the guy who was pastor. That became the first strong Pentecostal Church in Boston. My mother went there, my uncle went there and a lot of the people coming out of the Caribbean went there. It was filled with people from the South and from the Caribbean and numbers of whites.",pastoral care
,INT:,Wasn't that also the time when the Garvey Movement --?,pastoral care
,RH:,The Garvey movement was --.,pastoral care
,INT:,How did that work with --?,pastoral care
,RH:,A lot of the people who followed the Pentecostal stream weren't as committed to the Garvey Movement. Like my father started following Garvey and my mother did not. Once she joined the Pentecostal Church she got all immersed in the Pentecostal Church. But the Garvey Movement was taking place at the same time. I think the more powerful spokesman from my recollection was Father Bynoe and the Bynoe families were the spearheads that influenced the community I lived in at the time.,pastoral care
,INT:,[inaudible],pastoral care
,RH:,"Of course, Farrakhan wasn't on the scene at that time. Farrakhan I guess is probably around 70 now. Farrakhan came out of Newark originally, he wasn't born here. I remember him as a little kid. I had him at camp. I had him and his brother as campers, [inaudible] relationship with Farrakhan. I was his counselor at summer camp, him and his brother. Talented kids, smart kids, the mother raised them. They lived right up the block from Twelfth Baptist Church on Shawmut Avenue. They were good musicians. They were taught classical piano for the brother and classical violin for Farrakhan. In those days, the 40's and the 50's, music recitals were a common thing in the black community. Almost every time you turn around, some church or place would be having a musical recital. Many of them were held at the Masonic Temple on Tremont Street. Before long everyone knew that the Walcott boys were probably the most outstanding musicians - classical violin, classical piano.",pastoral care
,INT:,[inaudible],pastoral care
,RH:,"The Farrakhan's name, the Walcott boys. This is how I met them because I directed the music thing; I directed the glee club and then Farrakhan signed up for my glee club.",pastoral care
,INT:,Yes.,pastoral care
,RH:,"They were raised in St. Cyprian's Church. Oh, St. Cyprian's Church?",pastoral care
,RH:,Yes,pastoral care
,INT:,[inaudible] did you stay in the Twelfth Baptist Church? I went to the Twelfth Baptist as a young fellow. I --.,pastoral care
,RH:,I went to the Twelfth Baptist as a young fellow. I --.,pastoral care
,INT:,I thought --.,pastoral care
,RH:,My brother did. We went to Christ Temple for a while then my mother's brother opened his own Pentecostal Mission on Lenox Street near Shawmut Avenue. We went there to some degree. Roy tended to go between there and St. Cyprian. St. Cyprian's was the West Indian enclave. Our closest friends were all in the choir and some cousins were in the choir at St. Cyprian.,
,INT:,"[inaudible] very heavy influence in the political world of black Boston from the Caribbean prospective, [inaudible] incredibly important role. --?",
,RH:,You're correct.,
,INT:,[inaudible],
